"Rank","Player","Team","Bye","POS","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"1","Todd Gurley II","","","RB1","1","","","1","","1.0"
"2","Le'Veon Bell ","","","RB2","2","","","3","","2.4"
"3","David Johnson","","","RB3","3","","","2","","2.6"
"4","Ezekiel Elliott","NE","11","RB4","4","","","4","","4.0"
"5","Antonio Brown","","","WR1","5","","","6","","5.2"
"6","Alvin Kamara","NO","6","RB5","7","","","5","","6.2"
"7","Saquon Barkley","NYG","9","RB6","6","","","7","","6.6"
"8","DeAndre Hopkins","TEN","8","WR2","9","","","10","","8.8"
"9","Leonard Fournette","","","RB7","12","","","9","","10.0"
"10","Kareem Hunt","CLE","11","RB8","11","","","8","","10.2"
"11","dell Beckham Jr.","BAL","10 O","WR3","10","","","12","","11.0"
"12","Melvin Gordon III","BAL","10","RB9","14","","","11","","11.2"
"13","Julio Jones","PHI","9","WR4","8","","","14","","12.6"
"14","Dalvin Cook","BAL","10","RB10","13","","","15","","14.2"
"15","Christian McCaffrey","SF","11","RB11","16","","","13","","14.8"
"16","Michael Thomas","NO","6","WR5","17","","","16","","15.8"
"17","Keenan Allen","LAC","8","WR6","15","","","17","","16.4"
"18","Davante Adams","LV","","WR7","21","","","19","","18.8"
"19","Devonta Freeman","","","RB12","20","","","18","","19.2"
"20","A.J. Green ","","","WR8","19","","","21","","20.2"
"21","Rob Gronkowski","","","TE1","18","","","20","","20.6"
"22","Mike Evans","TB","5","WR9","23","","","24","","23.4"
"23","Jordan Howard","","","RB13","26","","","23","","23.6"
"24","Joe Mixon","CIN","9","RB14","27","","","22","","23.8"
"25","Travis Kelce","KC","12","TE2","25","","","26","","26.6"
"26","LeSean McCoy","","","RB15","24","","","28","","26.8"
"27","Tyreek Hill","MIA","11","WR10","31","","","25","","26.8"
"28","Aaron Rodgers","NYJ","11","QB1","22","","","30","","28.2"
"29","T.Y. Hilton","","","WR11","29","","","27","","28.2"
"30","Stefon Diggs","BUF","11","WR12","32","","","32","","29.8"
"31","Adam Thielen","CAR","4","WR13","34","","","29","","31.8"
"32","Larry Fitzgerald","","","WR14","30","","","37","","33.6"
"33","Kenyan Drake","","","RB16","35","","","31","","34.4"
"34","Amari Cooper","CLE","11","WR15","36","","","35","","34.6"
"35","Zach Ertz","DET","6","TE3","33","","","34","","35.0"
"36","Doug Baldwin","","","WR16","39","","","39","","37.0"
"37","Alex Collins ","","","RB17","43","","","33","","37.4"
"38","Jarvis Landry","","","WR17","40","","","36","","38.4"
"39","Royce Freeman","LAR","12","RB18","37","","","38","","41.2"
"40","Derrick Henry","TEN","8","RB19","42","","","41","","42.2"
"41","Demaryius Thomas ","","","WR18","38","","","45","","43.2"
"42","Jay Ajayi ","","","RB20","44","","","40","","43.8"
"43","JuJu Smith-Schuster","NE","11","WR19","51","","","42","","44.0"
"44","Brandin Cooks","DAL","8","WR20","47","","","44","","45.4"
"45","Golden Tate","","","WR21","45","","","43","","45.8"
"46","Lamar Miller","","","RB21","57","","","46","","46.8"
"47","Tom Brady","","","QB2","28","","","57","","47.8"
"48","Deshaun Watson","CLE","11","QB3","50","","","47","","47.8"
"49","Allen Robinson II","PIT","7","WR22","41","","","51","","48.0"
"50","Josh Gordon ","","","WR23","49","","","52","","48.6"
"51","Mark Ingram II ","","","RB22","60","","","48","","52.2"
"52","Russell Wilson","DEN","10","QB4","53","","","56","","54.4"
"53","Jimmy Graham","NO","6","TE4","56","","","50","","54.4"
"54","Marvin Jones Jr. ","","","WR24","55","","","53","","54.8"
"55","Chris Hogan","","","WR25","54","","","54","","55.0"
"56","Greg lsen O","","","TE5","48","","","58","","56.4"
"57","Dion Lewis","","","RB23","58","","","49","","56.4"
"58","Marshawn Lynch ","","","RB24","52","","","68","","61.4"
"59","Cam Newton ","","","QB5","46","","","65","","63.4"
"60","Corey Davis","","","WR26","70","","","60","","63.6"
"61","Carlos Hyde","","","RB25","75","","","59","","65.8"
"62","Michael Crabtree","","","WR27","61","","","71","","66.4"
"63","Evan Engram","JAC","9","TE6","62","","","75","","66.4"
