#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL
1,David Johnson,RB,FA,23.2,17.3,26.1,14.4,33.5,34.8,25.1,17.8,-,27.1,35,30.1,38.5,17.1,26.8,33.6,7.4,25.5,407.8
2,Aaron Rodgers,QB,NYJ,23.6,17.4,26.4,-,15.9,12.5,23.7,33.8,26.2,27.5,29.3,23.1,16,21.2,12,37.2,34.2,23.8,380
3,Matt Ryan,QB,FA,24.4,27.8,19.9,35.5,15,21.6,13.7,24.4,27.8,12.7,-,18.3,16.2,21.5,19.3,20,29.4,21.7,347.5
4,Drew Brees,QB,FA,31.4,14.5,25.9,11.9,-,32.6,24.7,20.7,24.7,21,15.4,32.5,7,4.5,29.4,16.1,20,20.8,332.3
5,Ezekiel Elliott,RB,NE,12.2,14.7,18,22.7,32.1,19.4,-,18.8,22.7,40.9,16.7,26,20.5,10.7,27.8,22.2,-,21.7,325.4
6,Le'Veon Bell,RB,FA,-,-,-,22.8,24.4,18.8,24.9,-,13,34.4,34.1,24.2,22.2,51.8,18.1,28.7,-,26.5,317.4
7,Antonio Brown,WR,FA,32.6,7.9,26,22.4,22.8,8.5,18.9,-,21.5,34.4,15.6,32.1,17.4,12.8,8.8,25.6,-,20.5,307.3
8,Mike Evans,WR,TB,20.9,19,29.2,10.9,20.9,BYE,29.6,11,38,10.6,16.5,30.4,8.8,8.2,9.9,22.7,17.5,19,304.1
9,Kirk Cousins,QB,MIN,10,18.6,19.3,17.3,12.3,17.3,21.5,24.2,-,18.4,27.4,30.2,16.8,16,9.7,29.8,11.5,18.8,300.3
10,LeSean McCoy,RB,FA,17,13,26.6,22.8,17.8,33.2,1.1,-,16,-,12.5,29.4,26.1,22.8,31.9,25.5,2.6,19.9,298.3
11,Odell Beckham Jr.,WR,BAL,11.3,16.6,19.1,5.3,16.6,40.2,9.9,BYE,20.6,25.7,9.6,27.6,20,19.4,19.3,26,9.4,18.5,296.6
12,Dak Prescott,QB,DAL,10.3,18.3,23.5,18.1,17.5,18.5,BYE,27.3,23.9,18.8,25.6,21.7,11.3,6.7,19.2,24,2.4,17.9,286.9
13,Devonta Freeman,RB,FA,8,9.3,31.7,14.4,21.3,8,15,21.8,12.5,11.1,-,21.7,26.5,3.8,33.5,16.8,28.7,17.8,284.1
14,Matthew Stafford,QB,LAR,26.1,15.5,26.5,8.2,18.8,28.2,17.8,13.6,14.8,-,11.1,16.3,23.8,16.4,10.2,12.5,19.9,17.5,279.8
15,T.Y. Hilton,WR,FA,13.9,8.1,31.4,17.2,33.1,7.9,26.3,3,14.2,-,20.7,8.4,23.6,26.5,7.5,16.5,15.5,17.1,273.8
