"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Travis Kelce (KC)","85","117","1,125","13.2","80","14","4","1","-5","0","0","16","223.0","13.9","99.3%"
"2","Kyle Rudolph (FA)","83","132","840","10.1","44","11","7","0","0","0","0","16","209.0","13.1","0.0%"
"3","Greg Olsen (FA)","80","129","1,073","13.4","78","14","3","0","0","0","0","16","207.3","13.0","7.0%"
"4","Jimmy Graham (NO)","65","95","923","14.2","42","10","6","1","0","0","2","16","189.3","11.8","0.2%"
"5","Delanie Walker (FA)","65","102","800","12.3","47","13","7","2","11","0","0","15","188.1","12.5","0.1%"
"6","Zach Ertz (DET)","78","106","816","10.5","30","9","4","0","0","0","0","14","183.6","13.1","10.9%"
"7","Cameron Brate (FA)","57","81","660","11.6","38","5","8","0","0","0","0","15","171.0","11.4","2.0%"
"8","Dennis Pitta (FA)","86","121","729","8.5","30","4","2","0","0","0","1","16","168.9","10.6","0.0%"
"9","Jordan Reed (FA)","66","89","686","10.4","33","9","6","0","0","0","1","12","168.6","14.1","19.0%"
"10","Martellus Bennett (FA)","55","73","701","12.7","58","10","7","2","10","0","0","16","168.1","10.5","23.0%"
"11","Jason Witten (FA)","69","95","673","9.8","35","7","3","0","0","0","1","16","152.3","9.5","0.0%"
"12","Antonio Gates (FA)","53","93","548","10.3","27","5","7","0","0","0","1","14","147.8","10.6","0.2%"
"13","Jack Doyle (FA)","59","75","584","9.9","24","5","5","0","0","0","1","16","145.4","9.1","2.0%"
"14","Eric Ebron (FA)","61","85","711","11.7","61","9","1","1","1","1","0","13","144.2","11.1","0.0%"
"15","Coby Fleener (FA)","50","81","631","12.6","50","12","3","1","2","1","0","16","137.3","8.6","0.0%"
"16","Charles Clay (FA)","57","87","552","9.7","40","4","4","0","0","0","0","15","136.2","9.1","0.0%"
"17","C.J. Fiedorowicz (FA)","54","89","559","10.4","26","5","4","0","0","0","0","15","133.9","8.9","0.0%"
"18","Gary Barnidge (FA)","55","82","612","11.1","43","7","2","0","0","0","0","16","130.2","8.1","0.1%"
"19","Hunter Henry (NE)","36","53","478","13.3","59","7","8","0","0","0","1","15","129.8","8.7","21.9%"
"20","Zach Miller (FA)","47","64","486","10.3","34","5","4","0","0","0","0","10","119.6","12.0","0.0%"
"21","Vernon Davis (FA)","44","59","583","13.3","44","11","2","0","0","0","0","16","114.3","7.1","1.6%"
"22","Dwayne Allen (FA)","35","52","406","11.6","23","4","6","0","0","0","0","14","113.6","8.1","0.0%"
"23","Lance Kendricks (FA)","50","87","499","10.0","44","7","2","0","0","0","1","16","109.9","6.9","0.0%"
"24","Ryan Griffin (FA)","50","74","442","8.8","45","4","2","0","0","0","1","16","104.2","6.5","0.0%"
"25","Tyler Eifert (FA)","29","47","394","13.6","71","6","5","0","0","0","0","8","98.4","12.3","0.0%"
"26","Rob Gronkowski (FA)","25","38","540","21.6","53","12","3","0","0","0","0","8","97.0","12.1","1.5%"
"27","Will Tye (FA)","48","70","395","8.2","27","3","1","0","0","0","0","16","93.5","5.8","0.0%"
"28","Jesse James (FA)","39","60","338","8.7","24","2","3","0","0","0","0","16","90.8","5.7","0.0%"
"29","Jermaine Gresham (FA)","37","61","391","10.6","34","4","2","0","0","0","0","16","88.1","5.5","0.0%"
"30","Vance McDonald (FA)","24","45","391","16.3","75","6","4","0","0","0","0","11","87.1","7.9","0.0%"
"31","Clive Walford (FA)","33","52","359","10.9","31","3","3","0","0","0","0","15","86.9","5.8","0.0%"
"32","Julius Thomas (FA)","30","51","281","9.4","24","3","4","0","0","0","0","9","82.1","9.1","0.0%"
"33","Garrett Celek (FA)","29","50","350","12.1","31","4","3","0","0","0","1","16","80.0","5.0","0.0%"
"34","Trey Burton (FA)","37","60","327","8.8","32","1","1","0","0","0","0","16","75.7","4.7","0.0%"
