"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Antonio Brown (FA)","106","154","1,284","12.1","51","22","12","3","9","0","0","15","307.3","20.5","0.8%"
"2","Jordy Nelson (FA)","97","152","1,257","13.0","60","19","14","0","0","0","1","16","304.7","19.0","0.1%"
"3","Mike Evans (TB)","96","173","1,321","13.8","45","15","12","0","0","0","0","16","304.1","19.0","97.5%"
"4","Odell Beckham Jr. (BAL)","101","169","1,367","13.5","75","20","10","1","9","0","1","16","296.6","18.5","59.0%"
"5","T.Y. Hilton (FA)","91","155","1,448","15.9","63","28","6","0","0","0","0","16","273.8","17.1","1.6%"
"6","Julio Jones (PHI)","83","129","1,409","17.0","75","27","6","0","0","0","0","14","259.9","18.6","1.4%"
"7","Michael Thomas (NO)","92","121","1,137","12.4","46","18","9","0","0","0","2","15","255.7","17.0","36.1%"
"8","Doug Baldwin (FA)","94","125","1,128","12.0","59","16","7","3","2","0","0","16","253.6","15.9","0.0%"
"9","Davante Adams (LV)","75","121","997","13.3","66","17","12","0","0","0","1","16","246.7","15.4","100.0%"
"10","Brandin Cooks (DAL)","78","117","1,173","15.0","98","15","8","6","30","0","0","16","246.3","15.4","69.6%"
"11","Larry Fitzgerald (FA)","107","150","1,023","9.6","32","8","6","2","5","0","1","16","243.8","15.2","0.2%"
"12","Michael Crabtree (FA)","89","145","1,003","11.3","56","10","8","0","0","0","0","16","239.3","15.0","0.0%"
"13","Amari Cooper (CLE)","83","132","1,153","13.9","64","21","5","1","0","0","0","16","232.3","14.5","91.4%"
"14","Jarvis Landry (FA)","94","131","1,136","12.1","71","16","4","5","17","0","2","16","231.3","14.5","7.1%"
"15","Julian Edelman (FA)","98","159","1,106","11.3","77","11","3","12","57","0","2","16","230.3","14.4","12.1%"
"16","Demaryius Thomas (FA)","90","144","1,083","12.0","55","10","5","0","0","0","2","16","226.3","14.1","0.1%"
"17","Golden Tate (FA)","91","135","1,077","11.8","67","13","4","10","4","0","1","16","223.1","13.9","0.0%"
"18","Tyrell Williams (FA)","69","119","1,059","15.3","51","19","7","0","0","0","0","16","216.9","13.6","0.0%"
"19","Terrelle Pryor Sr. (FA)","77","140","1,007","13.1","54","11","4","8","21","1","0","16","213.4","13.3","0.0%"
"20","Emmanuel Sanders (FA)","79","137","1,032","13.1","64","12","5","1","4","0","0","16","212.6","13.3","0.0%"
"21","Rishard Matthews (FA)","65","108","945","14.5","60","16","9","0","0","0","1","16","211.5","13.2","0.0%"
"22","Mike Wallace (FA)","72","116","1,017","14.1","95","10","4","5","31","0","0","16","202.8","12.7","0.0%"
"23","Pierre Garcon (FA)","79","114","1,041","13.2","70","15","3","0","0","0","0","16","201.1","12.6","0.0%"
"24","Allen Robinson II (PIT)","73","151","883","12.1","42","11","6","0","0","0","0","16","199.3","12.5","1.1%"
"25","Tyreek Hill (MIA)","61","83","593","9.7","49","8","6","24","267","3","1","16","199.0","12.4","100.0%"
"26","DeAndre Hopkins (TEN)","78","151","954","12.2","51","10","4","0","0","0","0","16","197.4","12.3","94.8%"
"27","Kelvin Benjamin (FA)","63","118","941","14.9","50","10","7","0","0","0","1","16","197.1","12.3","0.1%"
"28","Kenny Britt (FA)","68","111","1,002","14.7","66","15","5","0","0","0","1","15","196.2","13.1","0.0%"
"29","Adam Thielen (CAR)","69","92","967","14.0","71","16","5","2","15","0","1","16","195.2","12.2","87.2%"
"30","Stefon Diggs (BUF)","84","112","903","10.8","46","10","3","3","10","0","0","13","193.3","14.9","99.9%"
"31","Willie Snead IV (SF)","72","104","895","12.4","49","12","4","0","0","0","0","15","191.5","12.8","0.0%"
"32","Jamison Crowder (WAS)","67","99","847","12.6","55","11","7","2","-2","0","1","16","191.5","12.0","0.1%"
"33","Cole Beasley (FA)","75","98","833","11.1","47","6","5","1","7","0","0","16","189.0","11.8","0.0%"
"34","A.J. Green (FA)","66","100","964","14.6","54","15","4","0","0","0","0","10","186.4","18.6","0.6%"
"35","Brandon LaFell (FA)","64","107","862","13.5","86","11","6","1","-2","0","0","16","186.0","11.6","0.0%"
"36","Sterling Shepard (NYG)","65","105","683","10.5","32","6","8","3","31","0","0","16","184.4","11.5","0.2%"
"37","Steve Smith (FA)","70","101","799","11.4","52","12","5","0","0","0","0","14","183.9","13.1","0.0%"
"38","DeSean Jackson (FA)","56","100","1,005","17.9","80","19","4","0","0","0","0","15","180.5","12.0","0.6%"
"39","Dez Bryant (FA)","50","96","796","15.9","56","10","8","0","0","0","1","13","180.0","13.8","2.6%"
"40","Cameron Meredith (FA)","66","97","888","13.5","50","13","4","1","6","0","2","14","179.5","12.8","0.0%"
"41","Anquan Boldin (FA)","67","95","584","8.7","35","5","8","0","0","0","0","16","173.4","10.8","0.1%"
"42","Marqise Lee (FA)","63","105","851","13.5","51","13","3","6","35","0","1","16","172.4","10.8","0.0%"
"43","Marvin Jones Jr. (FA)","55","103","930","16.9","73","16","4","1","3","0","0","15","172.3","11.5","0.6%"
"44","Jordan Matthews (CAR)","73","117","804","11.0","54","13","3","0","0","0","0","14","171.4","12.2","0.0%"
"45","Quincy Enunwa (FA)","58","105","857","14.8","69","14","4","1","12","0","0","16","168.9","10.6","0.0%"
"46","Kenny Stills (FA)","42","81","726","17.3","74","10","9","0","0","0","0","16","168.6","10.5","0.0%"
